KECAMATAN,LAKI-LAKI,PEREMPUAN
KEDATON,26381,26094
SUKARAME,33785,32918
TANJUNGKARANG BARAT,31719,31026
TANJUNGKARANG TIMUR,19520,19165
TANJUNGKARANG PUSAT,25726,24960
PANJANG,38119,36568
TELUKBETUNG SELATAN,19982,19478
TELUKBETUNG BARAT,19603,18461
TELUKBETUNG UTARA,25465,25039
TELUKBETUNG TIMUR,25575,24084
RAJABASA,27966,27039
TANJUNGSENANG,30857,30533
SUKABUMI,36792,35398
KEMILING,42906,42005
LABUHANRATU,24068,23846
WAYHALIM,34231,33755
LANGKAPURA,21471,21032
ENGGAL,12774,13054
KEDAMAIAN,26856,26348
BUMIWARAS,29979,28370
PADANGCERMIN,1134,1094
NATAR,8400,8040
KATIBUNG,38017,36350
MERBAUMATARAM,29342,28245
WAYLIMA,19494,18660
TANJUNGBINTANG,43228,41959
JATIAGUNG,62580,59869
GEDONGTATAAN,60982,57674
